en,cn,type
too many fingers,手指太多,负面实践
poorly drawn hands,画得不好的手,负面实践
light_leaks,漏出光线,环境
sleeping,睡觉,基础动作
yaoi,搞基,身份
visible through hair,可被穿过的头发,头发
drill hair,钻头卷 公主卷,头发
long skirt,长裙,衣服
striped_socks,横条袜,鞋子
duplicate,复制品,负面实践
pixel_art,像素风点阵图,画质
bloom,开花,环境
hair_flower,发花,装饰
adorable girl,可爱的女孩,类型
rainy days,雨天,天气
ultra detailed,超详细的,画质
:t,不耐烦,表情
personification,拟人,风格
bent_over,翘臀姿势,复合动作
cropped,裁剪过的,负面实践
striped_thighhighs,条纹过膝袜,鞋子
smelling,闻,基础动作
yuri,百合,身份
looking up,向上看,基础动作
flower ribbon,花丝带,装饰
bell,铃铛,装饰
bikini,比基尼,衣服
eyebrows,眉毛,脸部
black ribbon,黑色丝带,装饰
blurry,模糊不清的,负面实践
in the rain,雨中,天气
sky,天空,环境
light blush,淡淡腮红,脸部
dark_persona,黑化的,表情
JK,JK,衣服
cane,手杖,物品
missing fingers,确收手指,负面实践
ribbon_choker,颈带,装饰
finely detail,精细的细节,画质
minigirl,迷你女孩,身份
waving,招手,手动作
extra legs,额外的支腿,负面实践
malformed mutated,畸形突变,负面实践
hand on own chest,手放在自己的胸前,手动作
hair between eyes,眼睛之间的头发,头发
gradient_background,渐变背景,风格
watercolor_medium,水彩,风格
big forhead,大前额,头发
twin_braids,双辫子,头发
cumulonimbus capillatus,鬃积雨云,天气
pointy ears,尖耳,耳部
bunny_ears,兔子耳朵,装饰
black blindfold,黑色眼罩,装饰
open mouth,张嘴,嘴部
japanese_clothes,和服,衣服
real,真实,风格
bracelet,手镯,装饰
best quality,最好的质量,画质
cowboy western,西部牛仔,衣服
gradient_eyes,渐变眼,眼睛
bra,文胸,衣服
:d,杯型笑脸,表情
fighting_stance,战斗姿态,复合动作
limb,肢,负面实践
mature,成熟,类型
worst quality,最差质量,负面实践
navel,肚脐,露出
garter_belt,连腰吊带袜,鞋子
backpack,双肩包,物品
more than 2 thighs,2条以上大腿,负面实践
white silk stocking,白色丝袜,衣服
mutated hands,变异的手,负面实践
loose_socks,泡泡袜,鞋子
cute face,可爱表情,表情
mouse_ears,鼠耳,耳部
seiza,正坐,腿动作
beautiful detailed white gloves,漂亮精致的白色手套,装饰
hands on hip,双手叉腰,手动作
school bag,书包,物品
hand on another's hip,手放臀,手动作
jpeg artifacts,jpg压缩效果,负面实践
disfigured,毁容的,负面实践
chemise,吊带胸衣,衣服
grovel,趴,基础动作
armband,臂章,装饰
hair_bow,蝴蝶结发饰,装饰
disheveled hair,蓬乱的头发,头发
bike_shorts,自行车短裤,衣服
middle_finger,比出中指,手动作
doll,人偶,身份
grey hair, 灰发,发色
veil,面纱,装饰
hairclip,发夹,装饰
maid_headdress,女仆头饰,装饰
beautiful detailed starry sky,细节的天空,场景
strong rim light,强边缘光,环境
green hair,绿发,发色
ocean,大海,环境
vampire,吸血鬼,身份
bikini_top,上身比基尼,衣服
detailed ice,细节的冰,场景
bright stars,璀璨星空,场景
closed mouth,闭嘴,嘴部
little girl,小女孩,类型
incredibly_absurdres,极度的效果,画质
bloomers,灯笼裤,衣服
chains,锁链,装饰
 bikini top only,只有上身比基尼,衣服
floating,浮动,基础动作
dog_ears,狗耳,耳部
dolphin shorts,海豚短裤,衣服
4koma,四格漫画,风格
antennae hair,多根呆毛,头发
holding sword,拿着剑,手动作
shirt lift,掀起上衣,复合动作
low quality,低质量,负面实践
back-to-back,背对背,复合动作
light,明亮的,风格
frown,皱眉,脸部
cone hair bun,锥形发髻,头发
gothic_lolita,哥特洛丽塔,衣服
armpits,举手露腋,手动作
pajamas,睡衣,衣服
wet clothes,湿衣服,衣服
arm at side,手放头旁边,手动作
tank_top,背心,衣服
purple hair,紫发,发色
:3,ω猫嘴,表情
mutated hands and fingers,突变的手,负面实践
castle,城堡,场景
lolita_fashion,洛丽塔风格,衣服
colorful,色彩斑斓的,画质
bob cut,妹妹切,头发
nurse cap,护士帽,装饰
bustier,胸衣,衣服
text,文本,负面实践
orc,半兽人,身份
symmetrical_hand_pose,手对手,复合动作
heterochromia,异色瞳,眼睛
short hair,短发,头发
collared shirt,有领衬衣,衣服
evening dress,晚礼服,衣服
eye_contact,对视,复合动作
leg_hug,抱腿,腿动作
crop top,漏脐背心,衣服
sexy lingerie,情趣内衣,衣服
indoor,室内,场景
lens_flare,镜头光斑,环境
bad anatomy disfigured malformed mutated,解剖结构不良+畸形变异,负面实践
poorly drawn,很惨的绘画,负面实践
over the sea,海边上,环境
satchel,肩背书包,物品
shorts,短裤,衣服
artbook,画册,风格
pendant,吊坠,装饰
medium_breasts,中胸,胸
mutation poorly drawn,突变绘制不佳,负面实践
yellow hair,黄发,发色
buruma,日本女生运动短裤,衣服
jpegartifacts,jpegartifacts,负面实践
pout,别扭努嘴,表情
wrist_cuffs,腕饰,装饰
 against wall,靠墙,基础动作
extra digit,额外数字,负面实践
science_fiction,科技幻想风格,风格
randomly distributed clouds,随机分布的云,天气
starry sky,星空,场景
watermark,水印,负面实践
illustration,插图,风格
detailed light,细节照明,环境
cross-laced_footwear,系带靴,鞋子
semi-rimless eyewear,半无框的眼镜,装饰
hands up,举手,手动作
mature female,成熟女性,类型
leggings,紧身裤,腿部
neckerchief,领巾,装饰
revealing dress,礼服长裙,衣服
beautiful and delicate water,美丽而精致的水,场景
side-tie_panties,侧系带内裤,衣服
undressing,脱衣服,复合动作
head tilt,歪头,基础动作
gyaru,辣妹,类型
autumn,秋天,环境
wristwatch,手表,装饰
drunk,喝醉的,表情
colored eyelashes,彩色睫毛,脸部
leaning forward,前倾,腿动作
sun,太阳,天气
arms behind head,手放脑后,手动作
fingersmile,用手指做出笑脸,手动作
elf,妖精,身份
smartphone,手机,物品
smug,得意,表情
school swimsuit,学校泳衣,衣服
mutated,变异的,负面实践
heart-shaped pupils,爱心瞳孔,眼睛
depth of field,景深,环境
loli,萝莉,身份
cat_pose,猫爪手势,手动作
hair wings,翼状头发,头发
lingerie,女用贴身内衣裤,衣服
stretch,伸懒腰,手动作
pink lucency full dress,礼服,衣服
solo,单人,类型
river,河,场景
bad anatomy,解剖结构不好,负面实践
artist name,艺术家姓名,负面实践
dusk,黄昏,天气
medium hair,中发,头发
watercolor,水彩,风格
boots,靴子,鞋子
animated_gif,连续的多张图片,风格
princess_carry,公主抱,复合动作
simple_background,简单的背景,风格
wedding_dress,婚纱,衣服
blood on face,血在脸上,脸部
string_panties,高腰内裤,衣服
bad face,坏面孔,负面实践
goggles,防风镜,装饰
long body,长机身,负面实践
blonde hair,金发,发色
best illustration,最佳插图,画质
long hair,长发,头发
animal ear fluff,动物耳绒毛,耳部
morbid,病态的,负面实践
seductive smile,诱惑笑,表情
female pervert,痴女,类型
bowtie,蝴蝶结,装饰
chibi,Q版人物,身份
extra limbs,额外的肢体,负面实践
leg_lift,抬脚,腿动作
original,原创,风格
an extremely delicate and beautiful,极其精致美丽,画质
monster,怪物,身份
no_humans,非人,身份
small breasts,小胸,胸
no_panties,没内裤,衣服
overexposure,过度曝光,环境
wide eyed,睁大眼睛,眼睛
knee_boots,马靴,鞋子
demon horns,恶魔角,装饰
zoom_layer,背景是前景的放大版,风格
red eyes,红色的眼睛,眼睛
username,用户名,负面实践
day,白天,天气
grove,树林,场景
flowers,鲜花,场景
jewelry,首饰,装饰
:q,向上吐舌头,表情
hair ornament,发饰,装饰
best shadow,最佳阴影,环境
mutated hands and fingers,变异的手和手指,负面实践
fox_ears,狐狸耳朵,耳部
out of frame,帧外,负面实践
highres,高分辨率,画质
stars,星星,环境
magical_girl,魔法少女,身份
panties,内裤,衣服
stockings,丝袜,鞋子
sad,悲伤的,表情
summer,夏,环境
thighband pantyhose,大腿连裤袜,腿部
necklace,项链,装饰
frilled bikini,褶边比基尼,衣服
legwear,裤袜,鞋子
serifuku,水手服,衣服
blank stare,茫然凝视,表情
silhouette,剪影,风格
frills,褶皱修饰,衣服
ankle_lace-up,腿部系带,腿部
furry,福瑞,身份
sitting,坐,基础动作
hug,拥抱,复合动作
wink,眨眼,眼睛
buttons,纽扣,装饰
tongue out,吐舌,表情
sigh,叹气,表情
jump,跳,基础动作
hair_ornament,头饰,装饰
leg hold,手把腿抓着,手动作
big breasts,大胸,胸
fingerless gloves,五指手套,装饰
white hair,白发,发色
spring,春,环境
in a meadow,草地,环境
sandbeach,沙滩,场景
lipstick,口红,嘴部
red hair, 红发,发色
bad feet,脚不好,负面实践
adjusting_thighhigh,调整过膝袜,复合动作
swimsuit,泳装,衣服
crying with eyes open,哭,表情
tongue,舌头,嘴部
gym_uniform,运动服,衣服
apron,围裙,衣服
naughty_face,下流的表情,表情
earrings,耳环,装饰
loli,萝莉,类型
armlet,臂环,装饰
shirt,衬衫,衣服
cross necklace,十字架,物品
thigh strap,大腿系带,腿部
malformed,畸形的,负面实践
sisters,姐妹,类型
walk,走,基础动作
sleepy,困,表情
long bangs,长刘海,头发
dakimakura,抱枕,风格
bad hands,坏手,负面实践
hair_pull,拉头发,手动作
cover,封面,风格
angel,天使,身份
mole under eye,眼下痣,脸部
heart in eye,眼中的心形,眼睛
brown hair,棕发,发色
cinematic lighting,电影照明,环境
blush,脸红,脸部
hime_cut,公主切,头发
garter straps,吊带袜,鞋子
floating hair,漂浮的头发,头发
miko,巫女,身份
halo,光环,装饰
pleated_skirt,百褶裙,衣服
mesugaki,雌小鬼,类型
half closed eyes,半闭着的眼睛,表情
wind,风,天气
skirt,裙子,衣服
garreg mach monastery uniform,火焰纹章军服,衣服
sling bikini,吊索比基尼,衣服
ojousama,大小姐,类型
spread_arms,张手,手动作
feather,羽毛,物品
grin,露齿而笑,表情
underwear,内衣,衣服
detached_sleeves,袖肩分离装,衣服
brown cardigan,棕色开襟衫（外套）,衣服
forehead,露额头,头发
crossed_legs,二郎腿,腿动作
golden hour lighting,黄金时段照明,环境
fetal position,婴儿姿势,腿动作
ahoge,呆毛,头发
beautiful detailed girl,漂亮细致的女孩,画质
nude,裸体,露出
8k_wallpaper,8k壁纸,画质
looking down,向下看,基础动作
sailor collar,水手领子,衣服
robe,长袍,衣服
top-down_bottom-up,趴着翘臀,复合动作
arm_support,用手支撑住,腿动作
grey gradient hair,灰色渐变头发,头发
looking back,回头,基础动作
endured_face,忍耐的表情,表情
amazing,超神作品,画质
crossed bangs,交叉刘海,头发
school uniform,学校制服,衣服
shorts under skirt,裙下短裤,衣服
fewer digits,更少的数字,负面实践
arms_crossed,手交叉于胸前,手动作
hairband,发卡,装饰
two-tone hair,双色,头发
swept bangs,侧扫刘海,头发
stewardess,空姐,身份
cat_ears,猫耳,耳部
sample,很多样本的集合,风格
veil,面纱,装饰
finger_gun,手枪手势,手动作
jitome,鄙夷,表情
cosplay,角色扮演,风格
big top sleeves,大袖子,衣服
extremely detailed CG unity 8k wallpaper,非常详细的CG unity 8k壁纸,画质
in hawaii,夏威夷,环境
arm strap,臂带,装饰
white bowties,白色蝴蝶结,装饰
serious,严肃,表情
kawaii,可爱,类型
beautiful detailed eyes,美丽细腻的眼睛,画质
light brown hair,浅棕色头发,头发
messy_long_hair,凌乱的长发,头发
leg_garter,腿部花边环,腿部
rain,下雨,天气
flowering shrubs,花丛,场景
cloned face,克隆的脸,负面实践
spread legs,张开腿,腿动作
scowl,锐利,表情
food on face,食物在脸上（食物可替换）,脸部
the top of the hill,山顶,环境
expressions,表情绘（各种表情）,风格
expressionless,无表情的,表情
wristband,腕带,装饰
holding_hands,牵手,复合动作
striped_panties,条纹内裤,衣服
multiple_girls,魔幻少女,身份
blue hair,蓝发,发色
kneehighs,长袜,鞋子
tareme,垂眼角,眼睛
stare,凝视,眼睛
malformed hands,畸形手,负面实践
gothic,哥特风格,风格
adult lady like woman,御姐,类型
idol,偶像,身份
wine glass,酒杯,物品
unclear eyes,眼睛不清,负面实践
 bikini under clothes,比基尼下装,衣服
robot girl,机器人女孩,身份
elbow gloves,肘部手套,装饰
slippers,拖鞋,鞋子
multicolored hair,五颜六色发,头发
sweater jacket,毛衣夹克,衣服
book,书,物品
cleavage dress,露出胸口部分的连衣裙,衣服
1girl,1个女孩,类型
fishnets,网袜,鞋子
three arms,三个手臂,负面实践
mecha clothes,机甲服,衣服
lie,躺,基础动作
annoyed,苦恼的,表情
cheerleader,啦啦队,身份
legwear under shorts,短裤下的紧身裤,腿部
dark magician girl,黑暗魔术师女孩,身份
fundoshi,日式丁字裤,衣服
giantess,女巨人,身份
curtain,窗帘,场景
beautiful detailed glow,美丽的细节辉光,环境
breeze,微风,环境
socks,短袜,鞋子
stand,站,基础动作
cropped jacket,裁剪短夹克,衣服
collar,项圈,装饰
hair pink flowers,粉色花,头发
headphones around neck,耳机套脖子上,装饰
hat,帽子,衣服
shackles,手链,装饰
thighhighs,过膝袜,鞋子
mimikaki,掏耳勺,复合动作
jacket,夹克,衣服
full_moon,满月,天气
fly,飞,基础动作
ribbons,缎带,装饰
sailor_collar,水手领,装饰
sunlight,阳光,环境
wavy hair,波浪形头发,头发
monochrome,单色图片,画质
kemonomimi_mode,兽耳萝莉模式,身份
profile,侧面绘,风格
half gloves,露指手套,装饰
extremely detailed CG,非常详细的CG,画质
worstquality,最差品质,负面实践
sunglasses,太阳镜,装饰
malformed limbs,畸形肢体,负面实践
scarf,围巾,装饰
bust,半身像,风格
deformed,变形的，变形的,负面实践
blue eyes,蓝眼睛,眼睛
night,夜晚,天气
straddling,跨坐,腿动作
twintails,双马尾,头发
facepaint,面纹,脸部
curly_hair,卷发,头发
bangs,刘海,头发
belt,腰带,衣服
fairy,小精灵,身份
wariza,鸭子坐,腿动作
nurse,护士,身份
lowleg panties,低腰式内裤,衣服
hair_ribbon,发带,装饰
short_ponytail,短马尾,头发
constricted pupils,收缩的瞳孔,眼睛
mermaid,美人鱼,身份
holding,拿着,手动作
burning,燃烧,环境
cloudy,多云,天气
braided ponytail,马尾编发,头发
angry,生气,表情
beautiful detailed sky,好天,环境
full body,全身,视角
mary_janes,玛丽珍鞋,鞋子
midriff,中腹部,露出
gloves,手套,装饰
lowers,低品质的,负面实践
red moon,红色的月亮,环境
extra digt,额外的数字,负面实践
lace,蕾丝花边,衣服
dungarees,工装服,衣服
sketch,素描,风格
summer_dress,夏日长裙,衣服
very long hair,超长发,头发
double bun,双包子头,头发
smirk,微笑,表情
tranny,特兰尼,负面实践
white_thighhighs,白色过膝袜,鞋子
traditional_media,传统媒体（基本上是手绘稿）,风格
laughing,笑,表情
yokozuwari,侧身坐,腿动作
eyeball,盯着看,眼睛
side ponytail,侧马尾,头发
nun,修女,身份
torn_thighhighs,损坏了的过膝袜,鞋子
witch,女巫,身份
waitress,女服务员,身份
dynamic angle,动态角度,视角
symbol-shaped pupils,符号形状的瞳孔,眼睛
guro,猎奇风,风格
tiara,皇冠,装饰
no bra,没穿文胸,衣服
game_cg,游戏CG,风格
ugly,丑陋的,负面实践
bare_legs,裸腿,衣服
beautiful detailed water,好水,环境
world masterpiece theater,世界杰作剧院,场景
makeup,浓妆,脸部
extra arms,额外的武器,负面实践
error,错误,负面实践
three legs,三条腿,负面实践
all_fours,四肢趴地,复合动作
knight,骑士,身份
fishnet_pantyhose,渔网袜,鞋子
shoes,鞋子,鞋子
poorly drawn,绘制不良,负面实践
transparent_background,透明的背景,风格
police,警察,身份
signature,签名,负面实践
black leggings,黑色紧身裤,腿部
off_shoulders,露肩,衣服
blunt bangs,齐刘海,头发
missing legs,缺腿,负面实践
album,专辑,风格
very_close_to_viewers,非常接近观众,视角
handcuffs,手铐,装饰
fine_art_parody,名画模仿,风格
missing fingers,丢失的手指,负面实践
symmetrical_docking,女胸部贴在一起,复合动作
lap_pillow,膝枕,复合动作
business_suit,职场制服,衣服
against backlight at dusk,傍晚背对阳光,环境
competition swimsuit,竞技泳衣,衣服
high ponytail,高马尾,头发
clenched teeth,咬紧牙关,表情
holding book,拿着书,手动作
everyone,一部作品中的主要人物集齐,风格
cityscape,城市风景,风格
anime face,动漫脸,脸部
student,学生,身份
ink,墨水,风格
photo,照片,风格
bed,床,场景
obi,和服腰间的绳带,衣服
necktie,领带,装饰
column_lineup,一列列小图组成大图,风格
hair ear,头发上耳朵,耳部
ahegao,伸出舌头眯着眼睛,表情
longeyelashes,长睫毛,脸部
cardigan,羊毛衫,衣服
glasses,眼镜,装饰
realistic,写实,风格
black silk stocking,黑色丝袜,衣服
silver hair,银发,发色
bright_eyes,明亮的眼睛,眼睛
on a hill,山上,环境
butterfly,蝴蝶,动物
mouth mask,口罩,装饰
humpbacked,驼背的,负面实践
winter,冬,环境
eyes closed,闭眼,眼睛
fetal_position,曲腿至胸,腿动作
dramatic_angle,戏剧性角度,视角
ponytail,马尾辫,头发
expressionless,无表情,表情
hair bun,包子头,头发
sea,大海,环境
bishoujo,美少女,类型
thong,丁字裤,衣服
hair scrunchie,撮头发,手动作
excited,兴奋,表情
miniskirt,迷你裙,衣服
tartan,格子花纹,衣服
mutilated,残缺不全的,负面实践
expressionless eyes,失神,表情
sleeveless shirt,无袖上衣,衣服
ribbed sweater,罗纹毛衣,衣服
run,跑,基础动作
plateau,高原,环境
suit,西装,衣服
housemaid,女仆,身份
thumbs_up,翘大拇指,手动作
polka_dot,点状花纹的,衣服
landscape,风景画,风格
on_stomach,趴着,腿动作
nsfw,nsfw,负面实践
fangs,尖牙,表情
devil,魔鬼,身份
crazy,疯狂的,表情
ponytail,马尾,头发
long neck,长脖子,负面实践
little boy,小男孩,类型
hood,兜帽,装饰
chair,椅子,场景
sweater dress,毛衣裙,衣服
bathing,洗澡,基础动作
oni horns,鬼角,装饰
salute,敬礼,手动作
messy_hair,凌乱发型,头发
looking_at_viewers,看着观众,基础动作
arms behind back,手放后面,手动作
sailor dress,水手连衣裙,衣服
eyepatch,眼罩独眼,装饰
side blunt bangs,侧面钝刘海,头发
dark,暗的,风格
side-tie_bikini,系带式比基尼,衣服
one eye closed,一只眼睛闭上,眼睛
skyblue dress,天蓝色连衣裙,衣服
double_bun,俩包子头,头发
sunset,日落,天气
huge_filesize,超大文件,画质
on the beach,海滩上,环境
one-piece swimsuit,连体泳衣,衣服
nosebleed,鼻血,脸部
slit pupils,猫眼,眼睛
sketch,素描,风格
sports bra,运动胸罩,衣服
text font ui,文本,负面实践
harem,后宫,身份
flowery meadow,繁花草甸,场景
bad proportions,比例不好,负面实践
Missing limbs,缺少肢体,负面实践
tennis racket,球拍,物品
streaked hair,挑染,头发
futa,扶他,负面实践
transparent underwear,透明内衣,衣服
sleeveless dress,无袖连衣裙,衣服
moon,月亮,天气
shine,闪耀,场景
comic,漫画,风格
peace symbol,耶手势,手动作
saliva,唾液,脸部
ice crystal texture wings,冰晶纹理翅膀,装饰
animal_ears,动物耳朵,耳部
focus_on_face,脸部聚焦,类型
frilled bra,褶边文胸,衣服
eyelid pull,做鬼脸,表情
squating,蹲着,基础动作
queen,女王,身份
azure hair,蓝发,发色
hoodie,连帽衫，卫衣,衣服
cumulonimbus calvus,秃积雨云,天气
teeth,牙,嘴部
parody,拙劣的模仿,负面实践
arched_back,弓着身体,复合动作
bare shoulders,裸露的肩膀,露出
optical illusion,视觉欺骗,风格
extremely detailed,非常详细,画质
cat,猫,动物
nature,自然,场景
skirt lift,掀起裙子,复合动作
trap,伪娘,身份
no_nose,没鼻子,脸部
braided bangs,辫子刘海,头发
mesh,网眼,装饰
glowing eyes,发光的眼睛,眼睛
kneeling,下跪,腿动作
hand_on_hip,单手插腰,手动作
high heels,高跟鞋,鞋子
large breasts,大乳房,负面实践
intense shadows,强阴影,环境
masterpiece,杰作,画质
normal quality,正常质量,负面实践
milf,熟女,类型
grabbing,抓住,手动作
smoking,抽烟,手动作
black hair,黑发,发色
multiple girls,多个女孩,类型
soldier,士兵,身份
nose blush,害羞,表情
indian_style,盘腿,腿动作
upside-down,颠倒的,复合动作
mini_top_hat,迷你礼帽,装饰
bandaid,创可贴,装饰
loafers,乐福鞋,鞋子
ninja,忍者,身份
seaside,海边,场景
half-closed eyes,半闭眼睛,表情
barefoot,赤脚,衣服
cape,斗篷,衣服
shushing,嘘手势,手动作
heart hair ornament,心形发饰,装饰
doctor,医生,身份
painting,绘画,风格
on a desert,沙漠,环境
mountain,山,环境
tsurime,吊眼角,眼睛
wallpaper,壁纸,画质
forest,森林,场景
lace-trimmed legwear,蕾丝镶边紧身裤,腿部
choker,颈部饰品,装饰
shota,正太,类型
side-tie bikini bottom,侧边系带比基尼下装,衣服
hand_to_mouth,手放在嘴边,手动作
checkered,黑白格子,画质
upper_body,上半身,类型
pantyhose,连裤袜,腿部
headphones,耳机,装饰
:p,向下吐舌头,表情
beret,贝雷帽,装饰
short shorts,热裤,衣服
poorly drawn face,绘制不良的脸,负面实践
high waist shorts,高腰腿裤,衣服
scenery,风景画,风格
from behind,从后面,视角
from above,从上面,视角
from back,从背面,视角
from below, 从下面,视角
from side, 从侧面,视角
